body-length,wing-length,body-width,wing-width,type
3,5,v,a,LongEaredOwl
3.2,4.7,v,a,LongEaredOwl
3.4,4.6,v,a,LongEaredOwl
3.6,5,v,b,LongEaredOwl
4.1,5.2,a,b,LongEaredOwl
3,4.9,a,a,LongEaredOwl
3.3,5.1,a,b,LongEaredOwl
3.4,4.8,b,b,LongEaredOwl
3.7,5.1,b,b,LongEaredOwl
3.1,4.9,b,b,LongEaredOwl
3.6,4.6,b,b,LongEaredOwl
3.9,5.4,b,b,LongEaredOwl
3,4.3,v,b,LongEaredOwl
2.9,4.4,b,b,LongEaredOwl
3.4,5,v,b,LongEaredOwl
3.5,5.1,v,b,LongEaredOwl
3.2,5,a,a,LongEaredOwl
3.8,5.1,a,b,LongEaredOwl
3,4.8,a,b,LongEaredOwl
4.2,5.5,a,b,LongEaredOwl
3.7,5.4,v,v,LongEaredOwl
3,4.8,v,b,LongEaredOwl
3.3,5,c,b,LongEaredOwl
3.2,4.7,v,b,LongEaredOwl
3.5,5.1,v,b,LongEaredOwl
3.4,4.8,v,b,LongEaredOwl
3.4,5.4,v,a,LongEaredOwl
3.8,5.1,a,a,LongEaredOwl
3,4.4,a,a,LongEaredOwl
3.5,5,a,a,LongEaredOwl
3.5,5,a,a,LongEaredOwl
3.9,5.4,a,a,LongEaredOwl
3.1,4.6,a,a,LongEaredOwl
3.8,5.7,a,a,LongEaredOwl
4,5.8,a,a,LongEaredOwl
3.7,5.3,c,a,LongEaredOwl
3.4,5,c,a,LongEaredOwl
3.2,4.4,c,a,LongEaredOwl
3.4,5.4,c,a,LongEaredOwl
3.2,4.6,c,v,LongEaredOwl
3.5,5.5,c,v,LongEaredOwl
3.1,4.8,c,v,LongEaredOwl
3.1,4.9,b,v,LongEaredOwl
3.4,5.2,b,v,LongEaredOwl
2.3,4.5,b,v,LongEaredOwl
2.8,6.4,b,v,SnowyOwl
3.2,6.4,b,v,SnowyOwl
2.8,6.2,b,v,SnowyOwl
2.5,6.3,b,v,SnowyOwl
3,6.1,a,v,SnowyOwl
3.3,6.3,a,v,SnowyOwl
2.6,7.7,a,b,SnowyOwl
2.7,6.3,v,a,SnowyOwl
2.5,4.9,v,a,SnowyOwl
3,5.9,v,a,SnowyOwl
3.1,6.4,v,a,SnowyOwl
3.8,7.7,v,a,SnowyOwl
3.4,6.2,v,a,SnowyOwl
3.2,6.8,v,a,SnowyOwl
3.1,6.9,v,a,SnowyOwl
3,6.8,b,v,SnowyOwl
3.3,6.7,a,b,SnowyOwl
3.2,6.9,a,v,SnowyOwl
3,7.6,v,v,SnowyOwl
2.8,6.4,v,v,SnowyOwl
2.2,6,v,v,SnowyOwl
2.9,7.3,v,v,SnowyOwl
3,7.1,v,v,SnowyOwl
3,7.2,v,a,SnowyOwl
3,6,v,a,SnowyOwl
2.8,5.6,c,a,SnowyOwl
2.9,6.3,c,a,SnowyOwl
2.7,5.8,c,a,SnowyOwl
2.7,5.8,a,a,SnowyOwl
2.5,6.7,a,b,SnowyOwl
2.8,6.3,a,a,SnowyOwl
3.3,6.7,a,v,SnowyOwl
3.2,7.2,a,v,SnowyOwl
2.5,5.7,v,v,SnowyOwl
3.4,6.3,v,v,SnowyOwl
3.1,6.9,v,v,SnowyOwl
3,6.5,v,v,SnowyOwl
3,7.7,c,v,SnowyOwl
2.8,7.4,c,c,SnowyOwl
2.8,7.7,c,a,SnowyOwl
3.6,7.2,c,a,SnowyOwl
2.6,6.1,b,a,SnowyOwl
3,6.7,a,c,SnowyOwl
3,6.5,a,b,SnowyOwl
2.7,6.4,a,b,SnowyOwl
2.7,5.6,v,b,BarnOwl
3,5.9,v,b,BarnOwl
3,6.1,v,b,BarnOwl
2.3,5.5,v,v,BarnOwl
2.8,5.7,a,v,BarnOwl
3,5.6,a,v,BarnOwl
2.8,6.8,a,v,BarnOwl
3.1,6.7,a,v,BarnOwl
2.5,5.5,c,v,BarnOwl
2.9,6.2,c,c,BarnOwl
3.1,6.9,c,v,BarnOwl
2.4,5.5,c,v,BarnOwl
2.8,6.1,b,v,BarnOwl
3,6.7,b,v,BarnOwl
2.8,6.1,b,v,BarnOwl
2.9,6.4,a,v,BarnOwl
2.7,6,a,v,BarnOwl
2.7,5.8,c,v,BarnOwl
2.6,5.8,a,v,BarnOwl
3,5.7,a,v,BarnOwl
2.4,5.5,b,v,BarnOwl
2.5,5.1,c,v,BarnOwl
3.4,6,c,v,BarnOwl
2.3,5,a,a,BarnOwl
2.9,5.7,a,a,BarnOwl
2.7,5.8,a,a,BarnOwl
2.6,5.5,b,a,BarnOwl
2,5,b,b,BarnOwl
2.5,5.6,b,b,BarnOwl
3,5.4,c,b,BarnOwl
2.3,6.3,c,b,BarnOwl
2.8,6.5,c,b,BarnOwl
3,6.6,c,b,BarnOwl
2.9,6,c,v,BarnOwl
2.7,5.2,a,v,BarnOwl
2.5,6.3,b,v,BarnOwl
3.2,6.4,b,v,BarnOwl
2.9,6.1,b,v,BarnOwl
2.9,5.6,b,v,BarnOwl
2.2,6,b,v,BarnOwl
3.3,6.3,a,v,BarnOwl
3.1,6.7,a,a,BarnOwl
2.9,6.6,a,a,BarnOwl
3,5.6,a,a,BarnOwl
3.2,5.9,b,a,BarnOwl
